username,player_id,timestamp,is_closed,is_former
spbvj7,187808503,1656232101,False,False
speedbird,1334371,1380628268,False,False
spikesdad,9444624,1376064247,False,False
spowmaster,4009484,1421276093,False,False
squashcoach,2170511,1376670146,False,False
stanjakill,4154737,0,0,1
steadfast61,5155608,1406052725,False,False
stepan123123,34172624,1653064950,False,False
stephano75,78496528,1655145699,False,False
stephennelson-smith,3037129,1651564266,False,False
steve-rove,14655852,1389123157,False,False
steve2906,72556420,1599652140,False,False
steve_robinson,3283766,1389598308,False,False
sthbristolshifty,16113302,1420993943,False,False
stickman62,24188458,1531862387,False,False
strim1,62958208,1654706924,0,1
strindle,21184914,0,0,1
stugiv,45388644,1614697889,0,1
sumy58,168555847,1650515293,False,False
superman0069,5973632,1390894015,False,False
susanadualte,185802917,1655146396,1,0
symphonicia,17158894,1401381628,False,False
tamirsoliman,7800084,1652206428,False,False
taner,1350929,1657362218,False,False
tar-aragorn_xiv,141882013,1652551713,0,1
tarek-sayed,28480750,1653837472,False,False
tarekmst2002,141724579,1654083806,False,False
taxloss,12334346,1601297030,False,False
tazbrushstrokes,21481698,1458921189,False,False
tbc76,1976005,1383165050,False,False
tech603,28029438,1549652178,False,False
technoh,56504926,0,0,1
telemachus7,11418558,1595072659,False,False
tendo89,138850956,1654545167,False,False
terentiusvarro,21534192,1451118394,False,False
terry222,2434088,1405790042,False,False
the_vicar_1,51895570,1551113129,False,False
theboo,1721213,1547327906,False,False
thecharityman,3977306,1466520961,False,False
thecloser80,164750535,1658057073,False,False
thedogbobson,122115242,1658237093,False,False
thedrunkenmaster,6926795,1421335291,False,False
thefmp,59485712,1651353284,False,False
thegedi,66892668,1572732650,False,False
thelegend_10,154886047,1654823257,False,False
thereaperman,1964807,1422537887,False,False
theyear9876,2373225,1387890038,False,False
thinkingcarefully,94771170,1626768205,False,False
thinline,2555589,1414911849,False,False
thisnameistaken12,67208640,1603576912,False,False
thomasparr,42948908,1633849417,False,False
thomsjrj,5565384,1558426603,False,False
threesons,15303518,1551991512,False,False
tilbs11,67734002,1606839758,1,0
tmeece63,7393953,1390745650,False,False
tomadlard,26290942,1457601899,False,False
tomahhawk,68098094,1634736880,False,False
tomengelhardt,44048694,1653114468,False,False
tommy_zephyr,5144798,1363623121,False,False
tompko,9287428,1517844131,False,False
tony5816,22705674,1543492921,False,False
topcat1974,32111916,1504637553,False,False
tpgmartin1,55251980,1554695971,False,False
trigger2,13468256,1416145727,False,False
trix52,11643272,1656277181,False,False
trumjeter,23922478,1480898730,False,False
trurojoe,1982195,1519111706,False,False
tt1499,28077630,1598217028,False,False
tunde_ajao,9875356,1453378076,False,False
tundradon,42063924,1532011939,False,False
tyredchef,19201722,0,0,1
ubergolfer,2346477,1539696348,False,False
ulisesplasencia,164565293,1647027595,1,0
ultimateshadowdragon,62265932,1563974178,False,False
upcomminggm,146426195,1658091589,False,False
victorstenshin,44341752,1620841845,False,False
vikingchucky,11744778,1655294246,0,1
vikrams02,29632720,1581978691,False,False
vitor2908,114404764,0,0,1
vlad_tepes_iii,44409314,1652005771,False,False
vova346,70582054,1603867382,False,False
vy350wagon,11108054,1393317990,False,False
waialex,59082266,1626671051,False,False
wallace_wang,35869808,1598357890,False,False
wallyweinberger,24216030,1485457718,False,False
walsamh,9573100,1610016984,False,False
wearsider,4692851,1608571588,False,False
welsford,4649880,1526130782,False,False
whynotplayagain,7368179,1657840310,False,False
wibichess1211,105279602,0,0,1
wightman,2406206,1464008344,False,False
wikkua,116314528,1625923474,False,False
wildrover137,12080990,1378677920,False,False
willersdan,5468173,1513697481,False,False
willistheknight,76825030,1604087779,False,False
willowforest,10014040,1388944483,0,1
wizardaxe,22385808,1441461067,False,False
wolff-jones14321,136303454,1621626242,False,False
wonderfolly,13201302,1460455277,False,False
xandassu,32334892,1559524817,False,False
yaroslavvvvvv,41995264,0,0,1
yavvee,94927396,1636586592,False,False
yogabija,3829791,1463608233,False,False
yongo78,17840512,1563968838,False,False
you-win-sum,47603682,1657573176,False,False
youtube19,33522073,1603994181,False,False
ytoong,2795601,0,0,1
yupi997,167286537,1657253109,0,1
zendak,62763894,1656040071,False,False
zinsx,30115248,0,0,1
zugzwischenzwang,157512535,1645206004,False,False
